"statefips","countyfips","countyns10","geoid10","name","namelsad10","boundingbox","corner_sw","corner_nw","corner_ne","corner_se","corner_wtf","extentn","extents","extente","extentw"
"01","001","00161526","01001","Autauga","Autauga County","POLYGON((-86.921237 32.307574,-86.921237 32.708213,-86.411172 32.708213,-86.411172 32.307574,-86.921237 32.307574))","32.307574,-86.921237","32.708213,-86.921237","32.708213,-86.411172","32.307574,-86.411172","32.307574,-86.921237","32.708213","32.307574","-86.411172","-86.921237"
"01","003","00161527","01003","Baldwin","Baldwin County","POLYGON((-88.037309 30.146561,-88.037309 31.319017,-87.366591 31.319017,-87.366591 30.146561,-88.037309 30.146561))","30.146561,-88.037309","31.319017,-88.037309","31.319017,-87.366591","30.146561,-87.366591","30.146561,-88.037309","31.319017","30.146561","-87.366591","-88.037309"
"01","005","00161528","01005","Barbour","Barbour County","POLYGON((-85.748433 31.617565,-85.748433 32.148251,-85.048825 32.148251,-85.048825 31.617565,-85.748433 31.617565))","31.617565,-85.748433","32.148251,-85.748433","32.148251,-85.048825","31.617565,-85.048825","31.617565,-85.748433","32.148251","31.617565","-85.048825","-85.748433"
"01","007","00161529","01007","Bibb","Bibb County","POLYGON((-87.421989 32.831522,-87.421989 33.246926,-86.876023 33.246926,-86.876023 32.831522,-87.421989 32.831522))","32.831522,-87.421989","33.246926,-87.421989","33.246926,-86.876023","32.831522,-86.876023","32.831522,-87.421989","33.246926","32.831522","-86.876023","-87.421989"
"01","009","00161530","01009","Blount","Blount County","POLYGON((-86.963358 33.765171,-86.963358 34.260483,-86.303516 34.260483,-86.303516 33.765171,-86.963358 33.765171))","33.765171,-86.963358","34.260483,-86.963358","34.260483,-86.303516","33.765171,-86.303516","33.765171,-86.963358","34.260483","33.765171","-86.303516","-86.963358"
"01","011","00161531","01011","Bullock","Bullock County","POLYGON((-85.999258 31.880275,-85.999258 32.305289,-85.410042 32.305289,-85.410042 31.880275,-85.999258 31.880275))","31.880275,-85.999258","32.305289,-85.999258","32.305289,-85.410042","31.880275,-85.410042","31.880275,-85.999258","32.305289","31.880275","-85.410042","-85.999258"
"01","013","00161532","01013","Butler","Butler County","POLYGON((-86.908939 31.523673,-86.908939 31.964629,-86.438341 31.964629,-86.438341 31.523673,-86.908939 31.523673))","31.523673,-86.908939","31.964629,-86.908939","31.964629,-86.438341","31.523673,-86.438341","31.523673,-86.908939","31.964629","31.523673","-86.438341","-86.908939"
"01","015","00161533","01015","Calhoun","Calhoun County","POLYGON((-86.146225 33.55593,-86.146225 33.96846,-85.529432 33.96846,-85.529432 33.55593,-86.146225 33.55593))","33.55593,-86.146225","33.96846,-86.146225","33.96846,-85.529432","33.55593,-85.529432","33.55593,-86.146225","33.96846","33.55593","-85.529432","-86.146225"
"01","017","00161534","01017","Chambers","Chambers County","POLYGON((-85.593653 32.72853,-85.593653 33.109038,-85.122189 33.109038,-85.122189 32.72853,-85.593653 32.72853))","32.72853,-85.593653","33.109038,-85.593653","33.109038,-85.122189","32.72853,-85.122189","32.72853,-85.593653","33.109038","32.72853","-85.122189","-85.593653"
"01","019","00161535","01019","Cherokee","Cherokee County","POLYGON((-85.843875 33.941423,-85.843875 34.526271,-85.398837 34.526271,-85.398837 33.941423,-85.843875 33.941423))","33.941423,-85.843875","34.526271,-85.843875","34.526271,-85.398837","33.941423,-85.398837","33.941423,-85.843875","34.526271","33.941423","-85.398837","-85.843875"
"01","021","00161536","01021","Chilton","Chilton County","POLYGON((-87.019157 32.660117,-87.019157 33.07188,-86.371118 33.07188,-86.371118 32.660117,-87.019157 32.660117))","32.660117,-87.019157","33.07188,-87.019157","33.07188,-86.371118","32.660117,-86.371118","32.660117,-87.019157","33.07188","32.660117","-86.371118","-87.019157"
"01","023","00161537","01023","Choctaw","Choctaw County","POLYGON((-88.473227 31.697929,-88.473227 32.310574,-87.92825 32.310574,-87.92825 31.697929,-88.473227 31.697929))","31.697929,-88.473227","32.310574,-88.473227","32.310574,-87.92825","31.697929,-87.92825","31.697929,-88.473227","32.310574","31.697929","-87.92825","-88.473227"
"01","025","00161538","01025","Clarke","Clarke County","POLYGON((-88.180821 31.185486,-88.180821 31.991355,-87.50093 31.991355,-87.50093 31.185486,-88.180821 31.185486))","31.185486,-88.180821","31.991355,-88.180821","31.991355,-87.50093","31.185486,-87.50093","31.185486,-88.180821","31.991355","31.185486","-87.50093","-88.180821"
"01","027","00161539","01027","Clay","Clay County","POLYGON((-86.17437 33.09026,-86.17437 33.498904,-85.641129 33.498904,-85.641129 33.09026,-86.17437 33.09026))","33.09026,-86.17437","33.498904,-86.17437","33.498904,-85.641129","33.09026,-85.641129","33.09026,-86.17437","33.498904","33.09026","-85.641129","-86.17437"
"01","029","00161540","01029","Cleburne","Cleburne County","POLYGON((-85.887782 33.469226,-85.887782 33.964204,-85.304439 33.964204,-85.304439 33.469226,-85.887782 33.469226))","33.469226,-85.887782","33.964204,-85.887782","33.964204,-85.304439","33.469226,-85.304439","33.469226,-85.887782","33.964204","33.469226","-85.304439","-85.887782"
"01","031","00161541","01031","Coffee","Coffee County","POLYGON((-86.196365 31.182023,-86.196365 31.619311,-85.789139 31.619311,-85.789139 31.182023,-86.196365 31.182023))","31.182023,-86.196365","31.619311,-86.196365","31.619311,-85.789139","31.182023,-85.789139","31.182023,-86.196365","31.619311","31.182023","-85.789139","-86.196365"
"01","033","00161542","01033","Colbert","Colbert County","POLYGON((-88.139988 34.56623,-88.139988 34.906694,-87.415888 34.906694,-87.415888 34.56623,-88.139988 34.56623))","34.56623,-88.139988","34.906694,-88.139988","34.906694,-87.415888","34.56623,-87.415888","34.56623,-88.139988","34.906694","34.56623","-87.415888","-88.139988"
"01","035","00161543","01035","Conecuh","Conecuh County","POLYGON((-87.427516 31.181133,-87.427516 31.753035,-86.662082 31.753035,-86.662082 31.181133,-87.427516 31.181133))","31.181133,-87.427516","31.753035,-87.427516","31.753035,-86.662082","31.181133,-86.662082","31.181133,-87.427516","31.753035","31.181133","-86.662082","-87.427516"
"01","037","00161544","01037","Coosa","Coosa County","POLYGON((-86.522283 32.753434,-86.522283 33.104702,-85.999748 33.104702,-85.999748 32.753434,-86.522283 32.753434))","32.753434,-86.522283","33.104702,-86.522283","33.104702,-85.999748","32.753434,-85.999748","32.753434,-86.522283","33.104702","32.753434","-85.999748","-86.522283"
"01","039","00161545","01039","Covington","Covington County","POLYGON((-86.702791 30.993258,-86.702791 31.528604,-86.186876 31.528604,-86.186876 30.993258,-86.702791 30.993258))","30.993258,-86.702791","31.528604,-86.702791","31.528604,-86.186876","30.993258,-86.186876","30.993258,-86.702791","31.528604","30.993258","-86.186876","-86.702791"
"01","041","00161546","01041","Crenshaw","Crenshaw County","POLYGON((-86.503948 31.440072,-86.503948 32.05171,-86.14395 32.05171,-86.14395 31.440072,-86.503948 31.440072))","31.440072,-86.503948","32.05171,-86.503948","32.05171,-86.14395","31.440072,-86.14395","31.440072,-86.503948","32.05171","31.440072","-86.14395","-86.503948"
"01","043","00161547","01043","Cullman","Cullman County","POLYGON((-87.151036 33.857954,-87.151036 34.313799,-86.451111 34.313799,-86.451111 33.857954,-87.151036 33.857954))","33.857954,-87.151036","34.313799,-87.151036","34.313799,-86.451111","33.857954,-86.451111","33.857954,-87.151036","34.313799","33.857954","-86.451111","-87.151036"
"01","045","00161548","01045","Dale","Dale County","POLYGON((-85.791581 31.195179,-85.791581 31.620566,-85.415334 31.620566,-85.415334 31.195179,-85.791581 31.195179))","31.195179,-85.791581","31.620566,-85.791581","31.620566,-85.415334","31.195179,-85.415334","31.195179,-85.791581","31.620566","31.195179","-85.415334","-85.791581"
"01","047","00161549","01047","Dallas","Dallas County","POLYGON((-87.47308 32.047202,-87.47308 32.729532,-86.806867 32.729532,-86.806867 32.047202,-87.47308 32.047202))","32.047202,-87.47308","32.729532,-87.47308","32.729532,-86.806867","32.047202,-86.806867","32.047202,-87.47308","32.729532","32.047202","-86.806867","-87.47308"
"01","049","00161550","01049","DeKalb","DeKalb County","POLYGON((-86.118911 34.199262,-86.118911 34.860371,-85.513612 34.860371,-85.513612 34.199262,-86.118911 34.199262))","34.199262,-86.118911","34.860371,-86.118911","34.860371,-85.513612","34.199262,-85.513612","34.199262,-86.118911","34.860371","34.199262","-85.513612","-86.118911"
"01","051","00161551","01051","Elmore","Elmore County","POLYGON((-86.413335 32.406036,-86.413335 32.769225,-85.852625 32.769225,-85.852625 32.406036,-86.413335 32.406036))","32.406036,-86.413335","32.769225,-86.413335","32.769225,-85.852625","32.406036,-85.852625","32.406036,-86.413335","32.769225","32.406036","-85.852625","-86.413335"
"01","053","00161552","01053","Escambia","Escambia County","POLYGON((-87.616074 30.994487,-87.616074 31.261997,-86.688063 31.261997,-86.688063 30.994487,-87.616074 30.994487))","30.994487,-87.616074","31.261997,-87.616074","31.261997,-86.688063","30.994487,-86.688063","30.994487,-87.616074","31.261997","30.994487","-86.688063","-87.616074"
"01","055","00161553","01055","Etowah","Etowah County","POLYGON((-86.370152 33.841598,-86.370152 34.200756,-85.737137 34.200756,-85.737137 33.841598,-86.370152 33.841598))","33.841598,-86.370152","34.200756,-86.370152","34.200756,-85.737137","33.841598,-85.737137","33.841598,-86.370152","34.200756","33.841598","-85.737137","-86.370152"
"01","057","00161554","01057","Fayette","Fayette County","POLYGON((-87.952072 33.519568,-87.952072 33.919931,-87.423701 33.919931,-87.423701 33.519568,-87.952072 33.519568))","33.519568,-87.952072","33.919931,-87.952072","33.919931,-87.423701","33.519568,-87.423701","33.519568,-87.952072","33.919931","33.519568","-87.423701","-87.952072"
"01","059","00161555","01059","Franklin","Franklin County","POLYGON((-88.173632 34.304598,-88.173632 34.581703,-87.529667 34.581703,-87.529667 34.304598,-88.173632 34.304598))","34.304598,-88.173632","34.581703,-88.173632","34.581703,-87.529667","34.304598,-87.529667","34.304598,-88.173632","34.581703","34.304598","-87.529667","-88.173632"
"01","061","00161556","01061","Geneva","Geneva County","POLYGON((-86.193476 30.992859,-86.193476 31.199886,-85.485288 31.199886,-85.485288 30.992859,-86.193476 30.992859))","30.992859,-86.193476","31.199886,-86.193476","31.199886,-85.485288","30.992859,-85.485288","30.992859,-86.193476","31.199886","30.992859","-85.485288","-86.193476"
"01","063","00161557","01063","Greene","Greene County","POLYGON((-88.207497 32.517727,-88.207497 33.153657,-87.706271 33.153657,-87.706271 32.517727,-88.207497 32.517727))","32.517727,-88.207497","33.153657,-88.207497","33.153657,-87.706271","32.517727,-87.706271","32.517727,-88.207497","33.153657","32.517727","-87.706271","-88.207497"
"01","065","00161558","01065","Hale","Hale County","POLYGON((-87.870502 32.48068,-87.870502 33.006824,-87.420132 33.006824,-87.420132 32.48068,-87.870502 32.48068))","32.48068,-87.870502","33.006824,-87.870502","33.006824,-87.420132","32.48068,-87.420132","32.48068,-87.870502","33.006824","32.48068","-87.420132","-87.870502"
"01","067","00161559","01067","Henry","Henry County","POLYGON((-85.418035 31.307675,-85.418035 31.774364,-85.041305 31.774364,-85.041305 31.307675,-85.418035 31.307675))","31.307675,-85.418035","31.774364,-85.418035","31.774364,-85.041305","31.307675,-85.041305","31.307675,-85.418035","31.774364","31.307675","-85.041305","-85.418035"
"01","069","00161560","01069","Houston","Houston County","POLYGON((-85.712436 30.997064,-85.712436 31.314973,-84.999428 31.314973,-84.999428 30.997064,-85.712436 30.997064))","30.997064,-85.712436","31.314973,-85.712436","31.314973,-84.999428","30.997064,-84.999428","30.997064,-85.712436","31.314973","30.997064","-84.999428","-85.712436"
"01","071","00161561","01071","Jackson","Jackson County","POLYGON((-86.359034 34.464473,-86.359034 34.991098,-85.583145 34.991098,-85.583145 34.464473,-86.359034 34.464473))","34.464473,-86.359034","34.991098,-86.359034","34.991098,-85.583145","34.464473,-85.583145","34.464473,-86.359034","34.991098","34.464473","-85.583145","-86.359034"
"01","073","00161562","01073","Jefferson","Jefferson County","POLYGON((-87.341698 33.245995,-87.341698 33.843237,-86.516662 33.843237,-86.516662 33.245995,-87.341698 33.245995))","33.245995,-87.341698","33.843237,-87.341698","33.843237,-86.516662","33.245995,-86.516662","33.245995,-87.341698","33.843237","33.245995","-86.516662","-87.341698"
